x	y	mask	nodeID	code	chrom	start	end
1	-1	False	345086	0	2	18223	18823
1	-1	False	345172	0	2	289456	290056
1	-1	False	345087	0	2	19647	20247
1	-1	False	345154	0	2	246119	246719
1	-1	False	347510	0	2	9508424	9509024
1	-1	False	345108	0	2	69619	70219
1	-1	False	347282	0	2	8985465	8986065
1	-1	False	347164	0	2	8692939	8693539
1	-1	False	347239	0	2	8867482	8868082
1	-1	False	347250	0	2	8894724	8895324
1	-1	False	347262	0	2	8924715	8925315
1	-1	False	347294	0	2	9017621	9018221
1	-1	False	347361	0	2	9191838	9192438
1	-1	False	357995	0	2	42550724	42551324
1	-1	False	347169	0	2	8702621	8703221
1	-1	False	347448	0	2	9370544	9371144
1	-1	False	347309	0	2	9061944	9062544
1	-1	False	347042	0	2	8421893	8422493
1	-1	False	347285	0	2	8993107	8993707
1	-1	False	347291	1	2	9003383	9003983
1	-1	False	347292	0	2	9005324	9005924
1	-1	False	347298	0	2	9029636	9030236
1	-1	False	347327	0	2	9109320	9109920
1	-1	False	348029	0	2	10649105	10649705
1	-1	False	347177	0	2	8719594	8720194
1	-1	False	347443	0	2	9361776	9362376
1	-1	False	347459	0	2	9399250	9399850
1	-1	False	347657	0	2	9813836	9814436
1	-1	False	357982	0	2	42525793	42526393
1	-1	False	360810	0	2	49881831	49882431
1	-1	False	347175	0	2	8714049	8714649
1	-1	False	347274	0	2	8966016	8966616
1	-1	False	347345	0	2	9153388	9153988
1	-1	False	347369	0	2	9208993	9209593
1	-1	False	347422	0	2	9315943	9316543
1	-1	False	347431	0	2	9333333	9333933
1	-1	False	347441	0	2	9357435	9358035
1	-1	False	347320	0	2	9080702	9081302
1	-1	False	346600	0	2	6896862	6897462
1	-1	False	347160	1	2	8681755	8682355
1	-1	False	347227	0	2	8840121	8840721
1	-1	False	347323	0	2	9095763	9096363
1	-1	False	347317	0	2	9077914	9078514
1	-1	False	347304	0	2	9051691	9052291
1	-1	False	350057	0	2	17730490	17731090
1	-1	False	347115	0	2	8580161	8580761
1	-1	False	347182	0	2	8732703	8733303
1	-1	False	347596	0	2	9677130	9677730
1	-1	False	350755	0	2	20381997	20382597
1	-1	False	346188	0	2	3958889	3959489
1	-1	False	355114	1	2	32165564	32166164
1	-1	False	391967	0	2	173653594	173654194
