x	y	mask	nodeID	code	chrom	start	end
1	-1	False	427815	0	21	5103205	5103805
1	-1	False	435725	0	21	43736185	43736785
1	-1	False	429134	0	21	22010584	22011184
1	-1	False	435721	0	21	43724256	43724856
1	-1	False	435611	0	21	43289998	43290598
1	-1	False	435665	0	21	43602454	43603054
1	-1	False	435709	0	21	43700672	43701272
1	-1	False	435711	0	21	43703121	43703721
1	-1	False	435727	0	21	43738476	43739076
1	-1	False	435729	0	21	43742635	43743235
1	-1	False	435730	0	21	43744933	43745533
1	-1	False	435733	0	21	43749449	43750049
1	-1	False	435933	0	21	44312786	44313386
1	-1	False	435089	0	21	41967197	41967797
1	-1	False	435627	0	21	43315111	43315711
1	-1	False	435684	0	21	43652372	43652972
1	-1	False	435670	0	21	43613694	43614294
1	-1	False	435764	0	21	43818240	43818840
1	-1	False	432946	0	21	36195655	36196255
1	1	True	435720	8	21	43719722	43720322
1	-1	False	435826	0	21	43935388	43935988
1	-1	False	435881	0	21	44059120	44059720
1	-1	False	432111	0	21	34037127	34037727
1	-1	False	435751	1	21	43789276	43789876
1	-1	False	435770	0	21	43828988	43829588
1	-1	False	436201	0	21	44919613	44920213
1	-1	False	435699	0	21	43682046	43682646
1	-1	False	435823	0	21	43930232	43930832
1	-1	False	435722	0	21	43728192	43728792
1	-1	False	432666	0	21	35482587	35483187
1	-1	False	435052	0	21	41884980	41885580
1	-1	False	435551	0	21	42951606	42952206
1	-1	False	435616	0	21	43299897	43300497
1	1	True	435633	8	21	43328255	43328855
1	-1	False	435834	0	21	43949355	43949955
1	-1	False	436452	0	21	45473671	45474271
1	-1	False	435718	0	21	43713130	43713730
1	-1	False	435731	0	21	43746032	43746632
1	-1	False	435767	0	21	43824050	43824650
1	-1	False	435841	0	21	43960453	43961053
1	-1	False	433316	0	21	36925473	36926073
1	-1	False	436699	0	21	46078860	46079460
1	-1	False	434685	0	21	40490958	40491558
1	-1	False	435761	0	21	43808763	43809363
1	-1	False	435850	0	21	43982946	43983546
1	-1	False	432746	0	21	35707493	35708093
1	-1	False	432976	0	21	36249300	36249900
1	-1	False	432989	0	21	36275668	36276268
1	-1	False	436935	0	21	46565650	46566250
1	-1	False	435689	0	21	43667505	43668105
1	-1	False	435705	0	21	43692690	43693290
1	-1	False	435712	0	21	43704215	43704815
1	-1	False	435714	0	21	43707336	43707936
1	-1	False	435726	0	21	43737363	43737963
