x	y	mask	nodeID	code	chrom	start	end
1	-1	False	675910	0	8	213697	214297
1	-1	False	675932	0	8	332823	333423
1	-1	False	675944	0	8	409968	410568
1	-1	False	676044	0	8	780941	781541
1	-1	False	676042	0	8	767087	767687
1	-1	False	675922	0	8	265077	265677
1	-1	False	676107	0	8	1025634	1026234
1	-1	False	676140	0	8	1122783	1123383
1	-1	False	697423	0	8	90361982	90362582
1	-1	False	701206	0	8	101987609	101988209
1	-1	False	675961	0	8	490013	490613
1	-1	False	676236	0	8	1527997	1528597
1	-1	False	676118	0	8	1062422	1063022
1	-1	False	676126	0	8	1083923	1084523
1	-1	False	697302	1	8	90001176	90001776
1	0	True	697473	2	8	90522456	90523056
1	-1	False	699710	0	8	97884599	97885199
1	-1	False	676121	0	8	1067500	1068100
1	-1	False	697291	1	8	89984366	89984966
1	-1	False	697297	0	8	89992156	89992756
1	-1	False	697306	0	8	90010258	90010858
1	-1	False	697372	0	8	90212716	90213316
1	-1	False	697387	0	8	90247722	90248322
1	-1	False	697426	0	8	90384243	90384843
1	-1	False	697446	0	8	90442153	90442753
1	-1	False	697461	0	8	90481396	90481996
1	-1	False	697492	0	8	90570827	90571427
1	-1	False	699763	0	8	97998082	97998682
1	-1	False	675978	0	8	547963	548563
1	-1	False	697184	0	8	89725662	89726262
1	-1	False	697185	0	8	89727303	89727903
1	-1	False	697186	0	8	89728871	89729471
1	-1	False	697197	0	8	89753459	89754059
1	-1	False	697200	0	8	89759160	89759760
1	-1	False	697233	0	8	89848720	89849320
1	-1	False	697287	0	8	89974226	89974826
1	-1	False	697491	0	8	90567683	90568283
1	-1	False	697526	1	8	90645782	90646382
1	-1	False	697530	0	8	90659721	90660321
1	-1	False	697575	0	8	90771018	90771618
1	-1	False	697780	0	8	91570764	91571364
1	-1	False	700053	0	8	98771044	98771644
1	-1	False	697310	0	8	90015120	90015720
1	-1	False	697499	0	8	90583890	90584490
1	-1	False	697368	0	8	90200686	90201286
1	-1	False	698142	0	8	93325159	93325759
1	-1	False	697354	0	8	90160260	90160860
1	-1	False	697298	0	8	89993713	89994313
1	-1	False	697299	0	8	89994828	89995428
1	-1	False	697330	0	8	90078115	90078715
1	-1	False	697428	0	8	90391825	90392425
1	-1	False	697496	0	8	90579271	90579871
1	-1	False	697719	0	8	91265098	91265698
1	-1	False	697852	0	8	92040274	92040874
1	-1	False	699775	0	8	98017353	98017953
1	-1	False	699791	1	8	98045087	98045687
1	-1	False	675916	0	8	245750	246350
1	-1	False	697129	0	8	89401490	89402090
1	0	True	697199	1	8	89757515	89758115
1	-1	False	697238	0	8	89862443	89863043
1	-1	False	705058	0	8	120443561	120444161
1	-1	False	695391	0	8	79063181	79063781
1	-1	False	697178	0	8	89708188	89708788
1	-1	False	697179	0	8	89715551	89716151
1	-1	False	697180	0	8	89717968	89718568
1	-1	False	697198	0	8	89756005	89756605
1	-1	False	697225	0	8	89825719	89826319
