chr1	2205133	2205733
chr1	45520859	45521459
chr1	2637837	2638437
chr1	9004888	9005488
chr1	21785447	21786047
chr1	26854766	26855366
chr1	27934694	27935294
chr1	28747806	28748406
chr1	153775638	153776238
chr1	154197223	154197823
chr1	6244986	6245586
chr1	12005368	12005968
chr1	92298352	92298952
chr1	1989028	1989628
chr1	1347721	1348321
chr1	12229705	12230305
chr1	8821751	8822351
chr1	22739556	22740156
chr1	44005487	44006087
chr1	44595028	44595628
chr1	45590624	45591224
chr1	46667766	46668366
chr1	44889944	44890544
chr1	45203683	45204283
chr1	160978365	160978965
chr1	11013549	11014149
chr1	6161506	6162106
chr1	6218635	6219235
chr1	8731678	8732278
chr1	9039796	9040396
chr1	16360271	16360871
chr1	10399442	10400042
chr1	151216520	151217120
chr1	236598575	236599175
chr1	12602830	12603430
chr1	13749149	13749749
chr1	19628661	19629261
chr1	3714413	3715013
chr1	9555217	9555817
chr1	21217840	21218440
chr1	15724366	15724966
chr1	27982844	27983444
chr1	31838123	31838723
chr1	23528085	23528685
chr1	31937656	31938256
chr1	2375032	2375632
chr1	10007097	10007697
chr1	21067783	21068383
chr1	95117135	95117735
chr1	67617734	67618334
chr1	67477530	67478130
chr1	153389880	153390480
chr1	228440231	228440831
chr1	6082961	6083561
chr1	6604113	6604713
chr1	6519075	6519675
chr1	34786350	34786950
chr1	35569967	35570567
chr1	33298561	33299161
chr1	54489090	54489690
chr1	226062053	226062653
chr1	18820690	18821290
chr1	1032968	1033568
chr1	1015346	1015946
chr1	32329884	32330484
chr1	1576270	1576870
chr1	7526935	7527535
chr1	10754499	10755099
chr1	11099010	11099610
chr1	11802517	11803117
chr1	204282516	204283116
chr1	9998777	9999377
chr1	23559391	23559991
chr1	26279855	26280455
chr1	43369072	43369672
chr1	45822244	45822844
chr1	46364503	46365103
chr1	52474763	52475363
chr1	205810078	205810678
chr1	42958832	42959432
chr1	45443250	45443850
chr1	226993154	226993754
chr1	53393170	53393770
chr1	151399921	151400521
chr1	225863976	225864576
chr1	226108062	226108662
chr1	26035199	26035799
chr1	26257124	26257724
chr1	11867067	11867667
chr1	5527885	5528485
chr1	5847186	5847786
chr1	212364053	212364653
chr1	175012459	175013059
chr1	179812906	179813506
chr1	1204975	1205575
chr1	9687811	9688411
chr1	10311357	10311957
chr1	9711097	9711697
chr1	10409098	10409698
chr1	89821591	89822191
chr1	236516090	236516690
chr1	12174976	12175576
chr1	15668021	15668621
chr1	22930170	22930770
chr1	25201402	25202002
chr1	146039715	146040315
chr1	21921398	21921998
chr1	40802083	40802683
chr1	26478744	26479344
chr1	24654707	24655307
chr1	26918394	26918994
chr1	1282960	1283560
chr1	203046045	203046645
chr1	201058905	201059505
chr1	32547394	32547994
chr1	150876494	150877094
chr1	246836033	246836633
chr1	52216763	52217363
chr1	34794039	34794639
chr1	6458643	6459243
chr1	27654412	27655012
chr1	24502011	24502611
chr1	109546209	109546809
chr1	182143162	182143762
chr1	67539126	67539726
chr1	42172871	42173471
chr1	178011281	178011881
chr1	203504495	203505095
chr1	234779192	234779792
chr1	233574326	233574926
chr1	5755043	5755643
chr1	230936809	230937409
chr1	204456987	204457587
chr1	7093204	7093804
chr1	43378118	43378718
chr1	8307475	8308075
chr1	109264937	109265537
chr1	109605693	109606293
chr1	36260477	36261077
chr1	181152847	181153447
chr1	148264563	148265163
chr1	11288950	11289550
chr1	116169428	116170028
chr1	234553117	234553717
chr1	54705047	54705647
chr1	18883944	18884544
chr1	116947033	116947633
chr1	241894933	241895533
chr1	180585707	180586307
chr1	183228323	183228923
chr1	203456467	203457067
chr1	7082284	7082884
chr1	16932807	16933407
chr1	18283782	18284382
chr1	178724795	178725395
chr1	9151404	9152004
chr1	38819147	38819747
chr1	109530451	109531051
chr1	243475599	243476199
chr1	40159649	40160249
chr1	226708406	226709006
chr1	26351230	26351830
chr1	156981354	156981954
chr1	52687763	52688363
chr1	25343684	25344284
chr1	19510484	19511084
chr1	23949252	23949852
chr1	150268726	150269326
chr1	183634876	183635476
chr1	205251559	205252159
chr1	16401202	16401802
chr1	203493460	203494060
chr1	173861176	173861776
chr1	22709368	22709968
chr1	229437368	229437968
chr1	173492476	173493076
chr1	211131738	211132338
chr1	29751969	29752569
chr1	247825013	247825613
chr1	53711382	53711982
chr1	46558447	46559047
chr1	150411171	150411771
chr1	151210337	151210937
chr1	151359378	151359978
chr1	224217404	224218004
chr1	225824998	225825598
chr1	109045965	109046565
chr1	26168066	26168666
chr1	114621334	114621934
chr1	151351000	151351600
chr1	167656436	167657036
chr1	206763577	206764177
chr1	157066828	157067428
chr1	29855689	29856289
chr1	43676861	43677461
chr1	100132333	100132933
chr1	5836657	5837257
chr1	7616055	7616655
chr1	119647464	119648064
chr1	9482636	9483236
chr1	16060301	16060901
chr1	16130517	16131117
chr1	16591677	16592277
chr1	11194279	11194879
chr1	147327527	147328127
chr1	17494201	17494801
chr1	112865353	112865953
chr1	41540767	41541367
chr1	26079004	26079604
chr1	31723655	31724255
chr1	25645304	25645904
chr1	246507722	246508322
chr1	203298987	203299587
chr1	55035779	55036379
chr1	25138949	25139549
chr1	41156433	41157033
chr1	54186891	54187491
chr1	54246255	54246855
chr1	147515872	147516472
chr1	39298673	39299273
chr1	109446133	109446733
chr1	36924105	36924705
chr1	61247188	61247788
chr1	185939944	185940544
chr1	211133160	211133760
chr1	244272875	244273475
chr1	51883123	51883723
chr1	113951593	113952193
chr1	230071288	230071888
chr1	70458693	70459293
chr1	155967912	155968512
chr1	165602155	165602755
chr1	228048767	228049367
chr1	226881954	226882554
chr1	235968835	235969435
chr1	109030813	109031413
chr1	30345608	30346208
chr1	236381595	236382195
chr1	184825442	184826042
chr1	39836703	39837303
chr1	181044668	181045268
chr1	227795734	227796334
chr1	17121784	17122384
chr1	210132471	210133071
chr1	235491168	235491768
chr1	245311041	245311641
chr1	211531973	211532573
chr1	19001001	19001601
chr1	84578145	84578745
chr1	180842829	180843429
chr1	11579985	11580585
chr1	226454860	226455460
chr1	51647624	51648224
chr1	53253535	53254135
chr1	205053974	205054574
chr1	51607925	51608525
chr1	241874373	241874973
chr1	173798357	173798957
chr1	167792357	167792957
chr1	210884613	210885213
chr1	212057733	212058333
chr1	226984335	226984935
chr1	227418114	227418714
chr1	112407546	112408146
chr1	247210628	247211228
chr1	247470966	247471566
chr1	23382924	23383524
chr1	207752462	207753062
